fighter_id,url,full_name,first_name,last_names,nickname,height_ft,height_in,height_cm,weight_lbs,reach_in,reach_cm,stance,dob,wins,losses,draws,no_contests,opponents
ff4dd3b0-ce2a-5d77-a5c0-0f8a92ba7646,http://ufcstats.com/fighter-details/8667caa0451d245b,Kennedy Nzechukwu,Kennedy,Nzechukwu,African Savage,6,5,195.57999999999998,236,83,210.82,Southpaw,1992-06-13,14,6,0,0,"Valter Walker, Lukasz Brzeski, Chris Barnett, Ovince Saint Preux, Dustin Jacoby, Devin Clark, Ion Cutelaba, Karl Roberson, Nicolae Negumereanu, Da Woon Jung, Danilo Marques, Carlos Ulberg, Darko Stosic, Paul Craig, Dennis Bryant, Anton Berzin"
a2a7c682-b545-5302-a010-fc805972b338,http://ufcstats.com/fighter-details/e18a19001a3f7c7d,Alptekin Ozkilic,Alptekin,Ozkilic,The Turkish Delight,5,5,165.1,125,65,165.1,Orthodox,1986-03-27,9,5,0,0,"Ben Nguyen, John Lineker, Louis Smolka, Darren Uyenoyama"
c39a354a-a99f-5e93-bb71-989f5dd6c305,http://ufcstats.com/fighter-details/4fd140eea593526e,Pat Pytlik,Pat,Pytlik,,6,0,182.88,170,73,185.42000000000002,Orthodox,1989-04-24,9,2,0,0,Andreas Gustafsson
daf18d1a-bff3-557a-9c25-8619ed0d066e,http://ufcstats.com/fighter-details/7debc13b36343605,Cristian Quinonez,Cristian,Quinonez,Problema,5,8,172.72,135,70,177.8,Orthodox,1996-04-26,18,5,0,0,"Raoni Barcelos, Kyung Ho Kang, Khalid Taha, Xiao Long"
253b0f4f-dcc2-52d5-a1f6-a7f7424373fa,http://ufcstats.com/fighter-details/36549928f90f1d36,Jose Quinonez,Jose,Quinonez,Teco,5,8,172.72,135,69,175.26,Southpaw,1990-07-28,9,5,0,0,"Louis Smolka, Sean O'Malley, Carlos Huachin, Nathaniel Wood, Teruto Ishihara, Diego Rivas, Joey Gomez, Leonardo Morales, Alejandro Perez"
82632b8f-7b74-5cde-81c6-d7b8353f2926,http://ufcstats.com/fighter-details/267f4a6568abe245,Landon Quinones,Landon,Quinones,The Lone Wolf,5,9,175.26,155,70,177.8,Southpaw,1995-11-21,7,3,1,0,"MarQuel Mederos, Nasrat Haqparast"
e2641a61-9d47-5f41-b1c0-4cf13776b970,http://ufcstats.com/fighter-details/5e84a859c6a82288,Michel Quinones,Michel,Quinones,El Capo,5,10,177.8,155,73,185.42000000000002,Orthodox,1984-12-22,8,3,0,0,"Sage Northcutt, Jared Gordon"
c2c9d01c-7d96-56c0-aa1b-21c200ab9f76,http://ufcstats.com/fighter-details/cc23ed51619421a3,Ryan Quinn,Ryan,Quinn,,5,8,172.72,145,0,0,,,13,7,1,0,
6f4c2010-50b7-50b7-bcdf-18bbe6d5fdbf,http://ufcstats.com/fighter-details/876f478f796495f7,Josh Quinlan,Josh,Quinlan,Bushido,6,0,182.88,170,72,182.88,Orthodox,1993-02-06,6,3,0,1,"Adam Fugitt, Danny Barlow, Trey Waters, Jason Witt, Logan Urban"
28f0ef94-8e83-57f6-b783-c7f5a80681d8,http://ufcstats.com/fighter-details/ddbe4fa2ea573393,Jimmy Quinlan,Jimmy,Quinlan,Crash,6,0,182.88,185,0,0,Orthodox,1986-05-25,3,1,1,0,Dylan Andrews
7143ab7a-1d5c-5f6b-8160-70ab471ca2af,http://ufcstats.com/fighter-details/2a8502954f49e682,Vinicius Queiroz,Vinicius,Queiroz,Spartan,6,7,200.66,220,0,0,Orthodox,1983-08-29,8,4,0,0,Rob Broughton
1f698d7d-e36a-54dd-adb4-ee0c39ae8990,http://ufcstats.com/fighter-details/52cae54377b433b7,Nate Quarry,Nate,Quarry,Rock,6,0,182.88,185,72,182.88,Open Stance,1972-03-18,12,4,0,0,"Jorge Rivera, Tim Credeur, Jason MacDonald, Demian Maia, Kalib Starnes, Pete Sell, Rich Franklin, Pete Sell, Shonie Carter, Lodune Sincaid"
35abfef2-65f8-565f-982b-9a1a95cf1f3b,http://ufcstats.com/fighter-details/aa171d55d4b5208f,Billy Quarantillo,Billy,Quarantillo,,5,10,177.8,145,70,177.8,Orthodox,1988-12-08,18,7,0,0,"Cub Swanson, Youssef Zalal, Damon Jackson, Edson Barboza, Alexander Hernandez, Shane Burgos, Gabriel Benitez, Gavin Tucker, Kyle Nelson, Spike Carlyle, Jacob Kilburn, Kamuela Kirk"
6d90bae4-21de-5c03-b484-63ae9c4f3221,http://ufcstats.com/fighter-details/f7b4cbe93f3bac06,Gary Quan,Gary,Quan,,5,8,172.72,143,0,0,,1971-04-11,3,5,0,0,Gilbert Melendez
8204737c-0e8e-5f5c-8c70-2eadf3458003,http://ufcstats.com/fighter-details/d365ee924f5cc3fc,Bao Quach,Bao,Quach,,5,3,160.02,145,0,0,Orthodox,1979-09-04,19,10,1,0,"Tito Jones, LC Davis"
6150796c-ae9e-5aa9-9bd2-0539d036a805,http://ufcstats.com/fighter-details/126bdc1710a8cbf4,Qiu Lun,Qiu,Lun,Tibetan Knight,5,8,172.72,125,66,167.64000000000001,Southpaw,1997-07-08,16,9,0,0,"SeungGuk Choi, Wallen Del Rosario, Erisson Ferreira"
73512952-8b5d-5285-bc22-2f13b0493776,http://ufcstats.com/fighter-details/f5990c11974d8e9c,Mike Pyle,Mike,Pyle,Quicksand,6,0,182.88,170,74,187.96,Orthodox,1975-09-18,27,14,1,0,"Zak Ottow, Alex Garcia, Alberto Mina, Sean Spencer, Colby Covington, Jordan Mein, TJ Waldburger, Matt Brown, Rick Story, James Head, Josh Neer, Ricardo Funch, Rory MacDonald, Ricardo Almeida, John Hathaway, Jesse Lennox, Jake Ellenberger, Chris Wilson, Brock Larson, JJ Ambrose, Jake Shields, Aaron Wetherspoon, Shonie Carter, Bret Bergmark"
